index,id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
102,85679,Sarah,Valdez,Sarah.Valdez@gmail.com,ballet flats,fabric,navy,298
103,38860,James,Key,James.Key@gmail.com,wedges,leather,navy,306
104,36029,Mary,Barnett,Mary.Barnett@gmail.com,wedges,leather,white,309
105,28879,Jose,Sherman,JS1110@gmail.com,sandals,faux-leather,brown,313
106,91689,Joseph,Copeland,JCopeland1978@gmail.com,ballet flats,leather,brown,314
107,74878,Ruth,Morales,RM4840@gmail.com,stilettos,leather,brown,319
108,10538,Gregory,Leach,Gregory.Leach@gmail.com,wedges,faux-leather,navy,319
109,36038,Nicole,Guerra,NicoleGuerra24@gmail.com,wedges,fabric,navy,324
110,12323,David,Contreras,David.Contreras@gmail.com,wedges,fabric,navy,326
111,11024,Theresa,Robbins,TheresaRobbins21@gmail.com,sandals,fabric,red,326
112,67834,Amy,Baldwin,ABaldwin1978@gmail.com,stilettos,faux-leather,black,326
113,23618,Pamela,Wolf,PamelaWolf46@yahoo.com,ballet flats,leather,navy,328
114,94538,William,Duran,WD5804@gmail.com,wedges,fabric,navy,328
115,12868,Michelle,Calderon,Michelle.Calderon@hotmail.com,sandals,leather,white,328
116,76642,Ryan,Clarke,RC5922@gmail.com,stilettos,fabric,brown,329
117,49435,Brenda,Brock,BB4163@gmail.com,stilettos,faux-leather,black,330
118,67701,Douglas,Barrett,Douglas.Barrett@gmail.com,wedges,faux-leather,brown,334
119,14281,Kenneth,Fitzgerald,KennethFitzgerald35@gmail.com,ballet flats,faux-leather,navy,335
120,31432,Daniel,Briggs,DB7755@gmail.com,ballet flats,fabric,navy,335
121,58309,Henry,Nichols,Henry.Nichols@gmail.com,wedges,fabric,red,335
122,49338,Larry,Dixon,Larry.Dixon@outlook.com,wedges,leather,brown,338
123,62617,Alan,Hoffman,Alan.Hoffman@gmail.com,stilettos,leather,white,338
124,65110,Russell,Morrow,RM7744@gmail.com,stilettos,leather,red,339
125,73565,Michelle,Vaughan,MVaughan1980@gmail.com,stilettos,fabric,brown,341
126,45194,Laura,Reese,LR3650@outlook.com,wedges,faux-leather,brown,343
127,15964,Charles,Buchanan,CharlesBuchanan97@gmail.com,sandals,faux-leather,black,346
128,64285,Gregory,Clements,Gregory.Clements@outlook.com,stilettos,faux-leather,brown,353
129,42499,Richard,Wall,Richard.Wall@gmail.com,ballet flats,leather,red,353
130,68081,Walter,Blackburn,WBlackburn1987@gmail.com,sandals,leather,brown,354
131,61010,Daniel,Pitts,DP4131@gmail.com,sandals,fabric,navy,355
132,86911,Louis,Hendricks,Louis.Hendricks@gmail.com,wedges,fabric,brown,355
133,12120,Douglas,Velez,DV8433@gmail.com,sandals,fabric,white,357
134,24881,Marie,Callahan,Marie.Callahan@gmail.com,wedges,leather,navy,358
135,91329,Tiffany,Bryant,TB2982@outlook.com,ballet flats,leather,navy,358
136,21781,Jeffrey,Graves,JG9709@gmail.com,wedges,leather,white,359
137,67869,Madison,Santiago,MadisonSantiago65@gmail.com,wedges,leather,navy,361
138,46058,Jesse,Beard,JB7732@outlook.com,ballet flats,leather,brown,363
139,41158,Elizabeth,Duffy,ED4195@gmail.com,ballet flats,leather,navy,364
140,64126,Marilyn,Schneider,MS6235@gmail.com,stilettos,leather,navy,366
141,12578,Gary,Matthews,GaryMatthews3@gmail.com,wedges,faux-leather,white,366
142,91114,Peter,Harding,PH5153@outlook.com,ballet flats,faux-leather,brown,367
143,40209,Keith,Small,KSmall1972@hotmail.com,ballet flats,faux-leather,red,368
144,95910,Roger,Patel,RPatel1977@gmail.com,wedges,faux-leather,navy,376
145,38225,Billy,Mcfadden,BM9740@gmail.com,wedges,faux-leather,red,376
146,93079,Kevin,Lara,KevinLara29@hotmail.com,sandals,leather,red,377
147,73531,Bryan,Coffey,BCoffey1979@gmail.com,ballet flats,faux-leather,navy,379
148,90461,Larry,Mccormick,Larry.Mccormick@gmail.com,sandals,fabric,brown,383
149,32521,Philip,Watson,Philip.Watson@gmail.com,sandals,fabric,red,384
150,15632,Justin,Singleton,JS6672@gmail.com,stilettos,faux-leather,red,388
151,17293,Jeffrey,Giles,JGiles1977@gmail.com,sandals,fabric,brown,390
152,51599,Roger,Cameron,RCameron1990@gmail.com,ballet flats,leather,red,395
153,48127,Benjamin,Dale,BDale1997@gmail.com,ballet flats,faux-leather,navy,397
154,81484,Nicholas,Lawson,NicholasLawson27@gmail.com,stilettos,fabric,brown,399
155,36852,Evelyn,Sellers,EvelynSellers10@gmail.com,wedges,leather,white,400
156,33804,Kayla,Bray,KaylaBray28@gmail.com,ballet flats,faux-leather,brown,400
157,48045,Matthew,Morris,MM2906@gmail.com,wedges,leather,brown,401
158,76050,Austin,Maldonado,Austin.Maldonado@gmail.com,wedges,leather,navy,402
159,59855,Tyler,Dillon,TylerDillon24@gmail.com,sandals,faux-leather,red,403
160,55541,Catherine,Wiggins,CW4370@gmail.com,ballet flats,fabric,black,404
161,35832,Eugene,James,EJ2296@gmail.com,wedges,leather,brown,407
162,50348,Alexis,Noble,AlexisNoble82@gmail.com,wedges,leather,navy,411
163,93197,Jean,Callahan,JeanCallahan82@gmail.com,sandals,fabric,brown,411
164,38069,Douglas,Dodson,DDodson1994@hotmail.com,stilettos,faux-leather,black,411
165,56261,Tyler,Carroll,Tyler.Carroll@outlook.com,ballet flats,leather,navy,411
166,52535,Bruce,Frazier,BruceFrazier48@gmail.com,stilettos,leather,brown,412
167,49697,Diane,Vargas,Diane.Vargas@gmail.com,stilettos,fabric,red,415
168,51311,Donald,Delgado,Donald.Delgado@gmail.com,ballet flats,fabric,red,418
169,24578,Michael,Drake,MichaelDrake13@gmail.com,sandals,fabric,red,419
170,98468,Logan,Dickerson,LDickerson1990@gmail.com,sandals,leather,brown,421
171,94856,Juan,Hall,JuanHall82@gmail.com,stilettos,fabric,red,427
172,95702,Juan,Rogers,JR9106@gmail.com,ballet flats,leather,red,429
173,95782,Deborah,Mclaughlin,DM2900@gmail.com,wedges,leather,white,433
174,85377,Judith,Levine,JudithLevine16@gmail.com,stilettos,leather,navy,446
175,84457,Katherine,Talley,Katherine.Talley@gmail.com,ballet flats,fabric,red,446
176,29115,Timothy,Drake,TDrake1980@gmail.com,wedges,leather,red,446
177,82234,Terry,Baxter,TerryBaxter23@outlook.com,ballet flats,leather,navy,448
178,45645,Patricia,Mccoy,Patricia.Mccoy@gmail.com,stilettos,faux-leather,white,448
179,11094,Judith,Palmer,JPalmer1978@outlook.com,ballet flats,faux-leather,white,457
180,29387,Laura,Pate,LPate1980@gmail.com,sandals,faux-leather,red,457
181,55747,Jessica,Sloan,JS9761@outlook.com,stilettos,fabric,navy,463
182,86151,Donald,Page,Donald.Page@gmail.com,wedges,fabric,brown,464
183,61579,Gabriel,Richards,GRichards1985@gmail.com,wedges,fabric,white,464
184,46451,Sharon,Davidson,SD4858@gmail.com,stilettos,leather,black,467
185,95264,Harold,Burks,HaroldBurks68@gmail.com,stilettos,fabric,white,468
186,75178,Melissa,Blackwell,Melissa.Blackwell@gmail.com,sandals,leather,black,469
187,57305,Bryan,Boyle,BB4671@gmail.com,ballet flats,fabric,navy,474
188,68298,Amanda,Knight,AK6583@gmail.com,wedges,fabric,navy,474
189,18196,Scott,Morton,SM8647@hotmail.com,wedges,faux-leather,white,475
190,57860,Evelyn,Holden,Evelyn.Holden@gmail.com,ballet flats,fabric,brown,477
191,31063,Debra,Nichols,DNichols1991@gmail.com,sandals,faux-leather,navy,478
192,18731,Virginia,Shepard,VirginiaShepard73@gmail.com,sandals,fabric,white,480
193,53962,Andrea,Trevino,Andrea.Trevino@gmail.com,sandals,fabric,navy,482
194,50212,Brenda,Burnett,BrendaBurnett83@hotmail.com,sandals,fabric,navy,484
195,74787,James,Gill,JamesGill43@gmail.com,sandals,fabric,brown,485
196,15734,Dylan,Hurst,Dylan.Hurst@gmail.com,wedges,leather,brown,488
197,18956,Tiffany,Stone,TStone1981@gmail.com,ballet flats,leather,white,492
198,55835,Jeremy,Randall,JeremyRandall28@gmail.com,sandals,fabric,brown,498
199,68900,Eugene,Kinney,EugeneKinney89@gmail.com,ballet flats,faux-leather,black,498
